Customer ID,Total Output Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun
PK0100T134783001,59273.74,59306.78,59339.11,59370.89,59401.39,59430.62,59460.29,59491.7,59522.53,59552.79,59580.65,59611.6,59639.8,59672.09,59705.51,59739.33,59770.07,59798.42,59832.18,59867.94,59902.87,59937.18,59970.48,60002.79,60029.18,60060.79,60092.85,60123.03,60151.78,60179.24
PK0100T134822001,66888.13,66922.62,66955.16,66986.88,67017.91,67048,67079.18,67111.04,67143.27,67170.67,67199.91,67232.36,67262.05,67296.63,67333.08,67369.54,67398.24,67426.1,67461.12,67499.65,67537.4,67574.22,67611.52,67642.65,67670.05,67703.02,67737.68,67769.68,67800.86,67831.06
PK0100T134840001,12718156,12724698,12731476,12738218,12744158,12749736,12755418,12761220,12766922,12772672,12778556,12784556,12790092,12796398,12803076,12809586,12815774,12821376,12827626,12834624,12841556,12848496,12855012,12861502,12867238,12873250,12879692,12886006,12892212,12898076
PK0100T134845001,20445.12,20454.46,20464.48,20474.51,20483.24,20491.81,20500.35,20508.94,20517.59,20526.07,20534.98,20543.62,20551.77,20560.25,20569.2,20578.01,20586.26,20594.55,20603.18,20612.35,20621.73,20630.79,20639.62,20648.58,20656.98,20665.24,20674.01,20682.69,20691.44,20699.44
PK0100T134846001,88734.97,88765.55,88798.18,88832.36,88858.48,88884.11,88910.47,88936.94,88963.66,88990.02,89018.75,89045.26,89070.19,89098.96,89129.86,89160.07,89187.47,89214.85,89244.15,89277,89309.27,89341.31,89372.23,89401.39,89429.8,89457.97,89487.67,89514.36,89540.9,89567.81
PK0100T134870001,53305.95,53336.72,53366.58,53398.48,53427.37,53454.84,53482.68,53511.2,53539.57,53566.02,53593.58,53622.86,53649.77,53678.48,53708.43,53737.83,53765.69,53792.91,53821.84,53852.54,53883.42,53913.99,53943.38,53971.93,53999.16,54027.76,54057.01,54085.71,54114.23,54141.57
PK0100T134883001,81834.18,81867.01,81900.58,81936.69,81965.61,81993.18,82021.25,82050.35,82079.68,82108.89,82140.89,82170.5,82197.59,82227.61,82260.16,82292.08,82322.99,82353.68,82385.33,82420.87,82455.42,82489.03,82521.07,82554.16,82585.48,82615.79,82647.8,82677.84,82706.47,82734.79
PK0100T135095001,94525.85,94565.96,94605.55,94642.28,94676.46,94710.22,94744.66,94780.58,94816.08,94851.19,94883.01,94918.08,94951.43,94988.29,95027.32,95066.13,95101.25,95132.24,95169.46,95210.84,95251.38,95291.37,95328.23,95366.67,95397.34,95432.88,95470.39,95505.44,95540.06,95573.47
PK0100T135139001,229683.2,232915.2,236096,239443.2,242232,244884.8,247616,250446.4,253187.2,256014.4,259036.8,261923.2,264587.2,265916.8,270593.6,273635.2,276601.6,279308.8,282176,285417.6,288718.4,292016,295136,298246.4,301056,303753.6,306635.2,309489.6,312396.8,315184
PK0100T135142001,43489.3,43505.08,43520.08,43539.87,43564.2,43588.52,43612.61,43637.1,43661.25,43680.13,43694.94,43719.79,43742.87,43768.67,43795.38,43821.68,43840.86,43855.96,43881.27,43908.38,43935.85,43962.91,43990.01,44011.57,44026.07,44050.23,44076.16,44099.76,44123.09,44147.24
PK0100T135151001,10884328.8,10887967.2,10891595.2,10895264,10898463.2,10901622.4,10904856,10908295.2,10911544,10915036,10918379.2,10921671.2,10924855.2,10928297.6,10931721.6,10935227.2,10938645.6,10941767.2,10945243.2,10948904.8,10952557.6,10956059.2,10959447.2,10962914.4,10965994.4,10969185.6,10972601.6,10975793.6,10978969.6,10982144
PK0100T135154001,93661.46,93703.21,93746.56,93791.81,93829.57,93866.76,93904.51,93942.51,93980.7,94019.84,94059.98,94098.76,94135.05,94176.07,94218.75,94261.13,94301.54,94341.42,94382.27,94427.15,94472.13,94516.74,94558.06,94600.03,94638.62,94677.67,94718.36,94756.51,94793.73,94830.03
PK0100T135155001,40423.75,40458.42,40495.02,40533.37,40564.45,40594.27,40624.6,40656.66,40689.18,40721.73,40754.62,40786.27,40814.59,40848.3,40884.49,40918.35,40951.4,40982.4,41014.21,41051.31,41088.29,41124.22,41157.63,41192.44,41223.85,41254.84,41288.08,41319.68,41350.93,41380.99
PK0100T135165001,51754.97,51770.97,51787.71,51805.15,51818.72,51831.81,51845.18,51858.67,51872.33,51886.56,51901.45,51915.95,51928.95,51944.15,51960.4,51976.05,51990.33,52004.59,52019.95,52036.87,52053.76,52070.56,52086.53,52101.98,52116.09,52131.2,52146.61,52161.04,52175.25,52189.29
PK0100T135168001,4204605.6,4206462,4208300.4,4210246.8,4211862,4213428,4214985.6,4216567.2,4218108,4219669.2,4221334.8,4222891.2,4224357.6,4226002.8,4227760.8,4229518.8,4231268.4,4232996.4,4234653.6,4236444,4238256,4240017.6,4241793.6,4243598.4,4245348,4246946.4,4248614.4,4250264.4,4251921.6,4253534.4
PK0100T135211001,852843.6,854172.6,855514.8,856756.5,857865,858993.6,860141.4,861298.8,862459.5,863655.3,864746.7,865881.9,866998.8,868234.2,869527.5,870749.1,871905.9,872925,874226.7,875643.3,877064.4,878294.1,879616.5,880866,881954.7,883243.5,884575.2,885765,886852.2,888027.3
PK0100T135807001,111811.2,113294.4,114996.8,116333.6,117848.8,119386.4,120849.6,122528,124129.6,125564.8,126910.4,128435.2,129929.6,130808,133080,134713.6,136220,137613.6,139296.8,140979.2,142668.8,144404.8,146049.6,147580.8,148951.2,150565.6,152175.2,153703.2,155218.4,156764.8
PK0100T135827001,202154.4,205012.8,207979.2,210975.6,213487.2,215772,218130,220563.6,223051.2,225549.6,228367.2,230934,233332.8,236181.6,239176.8,242206.8,244916.4,247620,250544.4,253737.6,256942.8,260037.6,263092.8,265971.6,268597.2,271382.4,274216.8,276766.8,279207.6,281719.2
PK0100T135836001,54882.04,54905.86,54931.47,54957.99,54977.94,54997.4,55017.32,55037.91,55059.61,55081.61,55105.33,55127.39,55147.74,55170.25,55194.57,55218.75,55241.65,55264.71,55288.01,55313.81,55339.09,55364.07,55387.56,55411.76,55434.57,55456.64,55479.8,55501.98,55523.03,55543.6
PK0100T135840001,3838959.6,3843020.4,3847352.4,3851823.6,3855385.2,3858807.6,3862306.8,3865870.8,3869494.8,3873177.6,3877230,3880922.4,3884358,3888264,3892454.4,3896600.4,3900500.4,3904294.8,3908352,3912828,3917272.8,3921598.8,3925647.6,3929571.6,3933252,3937104,3941050.8,3944616,3948049.2,3951642
PK0100T135856001,2502808.8,2504705.6,2506794.4,2508841.6,2510497.6,2512119.2,2513700,2515427.2,2517141.6,2518958.4,2520829.6,2522556,2524124,2525928,2527795.2,2529668,2531420.8,2533159.2,2534882.4,2536735.2,2538655.2,2540471.2,2542211.2,2544084.8,2545782.4,2547459.2,2549200,2550814.4,2552448,2554064
PK0100T135891001,28165.5,28177.6,28190.11,28205.09,28216.61,28227.21,28237.43,28247.55,28257.2,28268.41,28281.04,28292.31,28303.5,28315.41,28328.63,28341.67,28354.07,28366.98,28379.52,28393.17,28406.2,28419.45,28431.61,28444.63,28457.01,28469.49,28482,28493.29,28504.04,28515.06
PK0100T135924001,2894980.8,2896584.8,2898237.6,2899892.8,2901282.4,2902644.8,2904065.6,2905512,2906883.2,2908345.6,2909867.2,2911320,2912656.8,2914184,2915850.4,2917356,2918808,2920265.6,2921715.2,2923280.8,2924816,2926291.2,2927752.8,2929235.2,2930593.6,2931936,2933328,2934656,2935946.4,2937247.2
PK0100T135935001,71615.94,71640.42,71671.36,71697.06,71716.24,71737.7,71764.51,71788.29,71811.83,71835.83,71862.15,71886.71,71909.76,71934.03,71960.86,71984.54,72009.84,72033.14,72059.4,72085.64,72111.8,72137.06,72163.46,72188.83,72211.94,72236.22,72260.89,72283.84,72309.14,72332.83
PK0100T135942001,3404775.2,3406961.6,3409166.4,3411430.4,3413368,3415277.6,3417167.2,3419121.6,3421142.4,3423111.2,3425060,3427064.8,3428923.2,3431051.2,3433288.8,3435540,3437636.8,3439568,3441617.6,3443873.6,3446093.6,3448271.2,3450290.4,3452435.2,3454406.4,3456387.2,3458466.4,3460463.2,3462505.6,3464484.8
PK0100T135950001,2848081.6,2849708.8,2851336,2853010.4,2854380,2855745.6,2857108,2858495.2,2859834.4,2861234.4,2862656.8,2864060.8,2865353.6,2866799.2,2868341.6,2869834.4,2871233.6,2872655.2,2874140.8,2875752,2877353.6,2878876,2880321.6,2881769.6,2883094.4,2884493.6,2885985.6,2887381.6,2888720,2890032
